[CLIENT] TX: 050102CF08
[CLIENT] RX OK: 0C01020000016401000155021D090C07E10418010E0120FF8000001204201101120000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200000263150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200000360150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000021D090C07E10418010E1835FF80000012040011021200001500000000000024D21500000000000024D2
[CLIENT] RX OK: 0C010200000463150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA150000000000000000
[CLIENT] RX OK: 0C01020000056315000000000000000015000000000000000015000000000000077E15000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D21500000000000024D2150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200000660150000000000000000021D090C07E1091B03132414FF80000012040011031200001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200000763150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA15000000000000000015000000000000000015000000000000000015000000000000077E15000000000000077E150000000000000000
[CLIENT] RX OK: 0C0102000008601500000000000000001500000000000000001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000021D090C07E1081C010E3617FF80000012040011041200001500000000000024D2
[CLIENT] RX OK: 0C0102000009631500000000000024D2150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA
[CLIENT] RX OK: 0C010200000A6315000000000000000015000000000000000015000000000000000015000000000000077E15000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D21500000000000024D2150000000000000000
[CLIENT] RX OK: 0C010200000B60150000000000000000150000000000000000021D090C07E1091C040E3618FF80000012040011051200001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200000C63150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA15000000000000000015000000000000000015000000000000000015000000000000077E15000000000000077E
[CLIENT] RX OK: 0C010200000D601500000000000000001500000000000000001500000000000000001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000021D090C07E1091C04131129FF8000001204001106120000
[CLIENT] RX OK: 0C010200000E631500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA
[CLIENT] RX OK: 0C010200000F63150000000000000AFA15000000000000000015000000000000000015000000000000000015000000000000077E15000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D21500000000000024D2
[CLIENT] RX OK: 0C010200001060150000000000000000150000000000000000150000000000000000021D090C07E1091D05123518FF80000012040011071200001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200001163150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA15000000000000000015000000000000000015000000000000000015000000000000077E
[CLIENT] RX OK: 0C01020000126115000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000021D090C07E10A020113130AFF800000
[CLIENT] RX OK: 0C01020000136212040011081200001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200001463150000000000000AFA150000000000000AFA15000000000000000015000000000000000015000000000000000015000000000000077E15000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D2
[CLIENT] RX OK: 0C0102000015601500000000000024D2150000000000000000150000000000000000150000000000000000021D090C07E10A0403000000FF80000012040011091200001500000000000024D21500000000000024D2150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200001663150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C01020000176A15000000000000077E15000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000021D090C07E10A0504000000FF800000
[CLIENT] RX OK: 0C010200001862120400110A1200001500000000000024D21500000000000024D2150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200001963150000000000000AFA150000000000000AFA15000000000000000015000000000000000015000000000000000015000000000000077E15000000000000077E1500000000000000001500000000000000001500000000000000001500000000000024D2
[CLIENT] RX OK: 0C010200001A601500000000000024D2150000000000000000150000000000000000150000000000000000021D090C07E10A0605000000FF800000120400110B1200001500000000000024D21500000000000024D2150000000000000000150000000000000000
[CLIENT] RX OK: 0C010200001B63150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000000150000000000000AFA150000000000000AFA150000000000000000150000000000000000150000000000000000
